dteday,yr,mnth,hr,weekday,season,weathersit,cnt,registered,casual
2011-01-14,2011,January,11,Friday,Spring,Clear,53,47,6
2011-01-14,2011,January,12,Friday,Spring,Clear,61,59,2
2011-01-14,2011,January,13,Friday,Spring,Clear,77,73,4
2011-01-14,2011,January,14,Friday,Spring,Clear,64,59,5
2011-01-14,2011,January,15,Friday,Spring,Clear,68,59,9
2011-01-14,2011,January,16,Friday,Spring,Clear,90,87,3
2011-01-14,2011,January,17,Friday,Spring,Clear,159,155,4
2011-01-14,2011,January,18,Friday,Spring,Clear,139,134,5
2011-01-14,2011,January,19,Friday,Spring,Clear,92,89,3
2011-01-14,2011,January,20,Friday,Spring,Clear,68,68,0
2011-01-14,2011,January,21,Friday,Spring,Clear,52,48,4
2011-01-14,2011,January,22,Friday,Spring,Cloudy,36,34,2
2011-01-14,2011,January,23,Friday,Spring,Cloudy,27,26,1
2011-01-15,2011,January,0,Saturday,Spring,Clear,28,25,3
2011-01-15,2011,January,1,Saturday,Spring,Cloudy,20,18,2
2011-01-15,2011,January,2,Saturday,Spring,Cloudy,12,12,0
2011-01-15,2011,January,3,Saturday,Spring,Cloudy,8,7,1
2011-01-15,2011,January,4,Saturday,Spring,Cloudy,5,5,0
2011-01-15,2011,January,5,Saturday,Spring,Clear,1,1,0
2011-01-15,2011,January,6,Saturday,Spring,Clear,3,2,1
2011-01-15,2011,January,7,Saturday,Spring,Clear,10,9,1
2011-01-15,2011,January,8,Saturday,Spring,Clear,23,22,1
2011-01-15,2011,January,9,Saturday,Spring,Clear,33,31,2
2011-01-15,2011,January,10,Saturday,Spring,Clear,59,57,2
2011-01-15,2011,January,11,Saturday,Spring,Clear,72,54,18
2011-01-15,2011,January,12,Saturday,Spring,Clear,89,74,15
2011-01-15,2011,January,13,Saturday,Spring,Clear,101,80,21
2011-01-15,2011,January,14,Saturday,Spring,Clear,118,92,26
2011-01-15,2011,January,15,Saturday,Spring,Cloudy,129,108,21
2011-01-15,2011,January,16,Saturday,Spring,Cloudy,128,95,33
2011-01-15,2011,January,17,Saturday,Spring,Cloudy,83,54,29
2011-01-15,2011,January,18,Saturday,Spring,Cloudy,84,69,15
2011-01-15,2011,January,19,Saturday,Spring,Cloudy,74,60,14
2011-01-15,2011,January,20,Saturday,Spring,Cloudy,41,35,6
2011-01-15,2011,January,21,Saturday,Spring,Cloudy,57,51,6
2011-01-15,2011,January,22,Saturday,Spring,Cloudy,26,26,0
2011-01-15,2011,January,23,Saturday,Spring,Clear,44,39,5
2011-01-16,2011,January,0,Sunday,Spring,Clear,39,33,6
2011-01-16,2011,January,1,Sunday,Spring,Clear,23,19,4
2011-01-16,2011,January,2,Sunday,Spring,Clear,16,13,3
2011-01-16,2011,January,3,Sunday,Spring,Clear,15,6,9
2011-01-16,2011,January,4,Sunday,Spring,Clear,1,1,0
2011-01-16,2011,January,5,Sunday,Spring,Cloudy,2,1,1
2011-01-16,2011,January,6,Sunday,Spring,Cloudy,1,1,0
2011-01-16,2011,January,7,Sunday,Spring,Cloudy,3,3,0
2011-01-16,2011,January,8,Sunday,Spring,Clear,18,18,0
2011-01-16,2011,January,9,Sunday,Spring,Clear,32,29,3
2011-01-16,2011,January,10,Sunday,Spring,Clear,79,71,8
2011-01-16,2011,January,11,Sunday,Spring,Clear,93,70,23
2011-01-16,2011,January,12,Sunday,Spring,Clear,104,75,29
2011-01-16,2011,January,13,Sunday,Spring,Clear,118,95,23
2011-01-16,2011,January,14,Sunday,Spring,Clear,91,69,22
2011-01-16,2011,January,15,Sunday,Spring,Clear,113,78,35
2011-01-16,2011,January,16,Sunday,Spring,Clear,99,77,22
2011-01-16,2011,January,17,Sunday,Spring,Clear,105,82,23
2011-01-16,2011,January,18,Sunday,Spring,Clear,67,56,11
2011-01-16,2011,January,19,Sunday,Spring,Clear,61,47,14
2011-01-16,2011,January,20,Sunday,Spring,Clear,57,50,7
2011-01-16,2011,January,21,Sunday,Spring,Clear,28,22,6
2011-01-16,2011,January,22,Sunday,Spring,Cloudy,21,19,2
2011-01-16,2011,January,23,Sunday,Spring,Cloudy,18,18,0
2011-01-17,2011,January,0,Monday,Spring,Cloudy,17,16,1
2011-01-17,2011,January,1,Monday,Spring,Cloudy,16,15,1
2011-01-17,2011,January,2,Monday,Spring,Cloudy,8,8,0
2011-01-17,2011,January,3,Monday,Spring,Cloudy,2,2,0
2011-01-17,2011,January,4,Monday,Spring,Cloudy,3,2,1
2011-01-17,2011,January,5,Monday,Spring,Cloudy,1,1,0
2011-01-17,2011,January,6,Monday,Spring,Cloudy,5,5,0
2011-01-17,2011,January,7,Monday,Spring,Cloudy,13,9,4
2011-01-17,2011,January,8,Monday,Spring,Cloudy,33,30,3
2011-01-17,2011,January,9,Monday,Spring,Cloudy,47,39,8
2011-01-17,2011,January,10,Monday,Spring,Cloudy,57,50,7
2011-01-17,2011,January,11,Monday,Spring,Cloudy,64,55,9
2011-01-17,2011,January,12,Monday,Spring,Cloudy,80,70,10
2011-01-17,2011,January,13,Monday,Spring,Cloudy,93,80,13
2011-01-17,2011,January,14,Monday,Spring,Cloudy,86,74,12
2011-01-17,2011,January,15,Monday,Spring,Cloudy,93,72,21
2011-01-17,2011,January,16,Monday,Spring,Cloudy,82,76,6
2011-01-17,2011,January,17,Monday,Spring,Clear,71,67,4
2011-01-17,2011,January,18,Monday,Spring,Cloudy,92,85,7
2011-01-17,2011,January,19,Monday,Spring,Light Snow/Rain,60,58,2
2011-01-17,2011,January,20,Monday,Spring,Light Snow/Rain,33,29,4
2011-01-17,2011,January,21,Monday,Spring,Light Snow/Rain,27,24,3
2011-01-17,2011,January,22,Monday,Spring,Light Snow/Rain,13,13,0
2011-01-17,2011,January,23,Monday,Spring,Light Snow/Rain,4,3,1
2011-01-18,2011,January,12,Tuesday,Spring,Cloudy,3,3,0
2011-01-18,2011,January,13,Tuesday,Spring,Cloudy,22,22,0
2011-01-18,2011,January,14,Tuesday,Spring,Cloudy,28,26,2
2011-01-18,2011,January,15,Tuesday,Spring,Cloudy,35,32,3
2011-01-18,2011,January,16,Tuesday,Spring,Cloudy,61,61,0
2011-01-18,2011,January,17,Tuesday,Spring,Cloudy,125,124,1
2011-01-18,2011,January,18,Tuesday,Spring,Cloudy,133,132,1
2011-01-18,2011,January,19,Tuesday,Spring,Cloudy,99,98,1
2011-01-18,2011,January,20,Tuesday,Spring,Cloudy,83,83,0
2011-01-18,2011,January,21,Tuesday,Spring,Cloudy,41,41,0
2011-01-18,2011,January,22,Tuesday,Spring,Cloudy,33,33,0
2011-01-18,2011,January,23,Tuesday,Spring,Cloudy,20,19,1
2011-01-19,2011,January,0,Wednesday,Spring,Cloudy,3,3,0
2011-01-19,2011,January,1,Wednesday,Spring,Light Snow/Rain,7,6,1
